ALC,Origin,Destination,Number,FL Cap,Track,Production,Disabled,Deletion Date,Route,G/C,Distance,EU Emissions,Source,Updated,Valid Days,Valid Date,Valid From,Valid To,Aircraft,Acft Type,Route Qual,Origin Rwy,Destination Rwy,Comments
,RKPK,RKNY,12,250,,Yes,No,,RKPK BEVSI3 PSN V11 PILIT Y697 KAE KAE2H RKNY,173,256,224,BY,2020-06-26 0902,,,,,,,,36L,33,"1. PUS/YNY V11 ROUTE
2. 9000-10000FT / FL250-270 AVBL
3. 2020.06.26

"
,RKPK,RKNY,13,260,,Yes,No,,RKPK BEVSI3 PSN Y744 PILIT Y697 KAE KAE2H RKNY,173,256,224,MJ,2020-07-11 1818,,,,,,,,36L,33,"1. PUS/YNY RNAV(Y744) ROUTE
2. 9000-10000FT / FL250-270 AVBL
3. 2020.06.17

"
,RKPK,RKNY,98,130,,Yes,No,,RKPK SOORO2 KALOD A582 SEL G597 BIKSI DCT RKNY,173,282,224,TL,2021-10-30 0757,,,,,,,,36L,33,"1. PUS/YNY CONVENTIONAL ROUTE
2. MEA FL100 (A582)
3. 2020.06.23

"
,RKPK,RKPC,1,200,,Yes,No,,RKPK BURIM3 ENGOT Y572 UPGOS UPGOS1P RKPC,157,248,209,MJ,2025-02-10 0703,,,,,,,,18R,7,"1. PUS/CJU NML ROUTE 2. PUS DEP RWY 36 3. 4. 5. RMK  -    
"
,RKPK,RKPC,2,210,,Yes,No,,RKPK OPONO3 ENGOT Y572 UPGOS UPGOS1P RKPC,157,254,209,MJ,2025-12-12 0837,,,,,,,,36R,7,"1. PUS/CJU NML ROUTE 2. PUS DEP RWY 36 3. 4. 5. RMK  -     
"
,RKPK,RKPC,3,210,,Yes,No,,RKPK OPONO3 ENGOT Y572 UPGOS UPGOS2M RKPC,157,211,209,GL,2026-01-12 0726,,,,,,,,36R,25,"1. PUS/CJU NML ROUTE 2. PUS DEP RWY 36 3. 4. 5. RMK  -     
"
,RKPK,RKPC,21,210,,Yes,No,,RKPK DCT SARAM Y253 ANUBA DCT DOTOL DOTOL2P RKPC,157,250,209,YJ,2023-05-20 0110,,,,,,,,36R,7,"1. PUS-CJU KSLV DETOUR ROUTE
2. PUS 36 DEP


"
,RKPK,RKPC,70,240,,Yes,No,,RKPK SOORO2 KALOD DCT SAPDI Y253 ANUBA DCT DOTOL DOTOL2P RKPC,157,285,209,MJ,2025-09-04 0524,,,,,,,,36L,7,"TEST 
"
,RKPK,RKPC,80,100,,Yes,No,,RKPK BEVSI3 PSN A586 CJU DCT RKPC,157,207,209,TL,2022-11-28 2256,,,,,,,,36R,7,"1. PUS/CJU CONVENTIONAL ROUTE
2. PUS DEP RWY 36
3.
4.
5. RMK
- A586 MFL 100 (ABOVE 100, CTC TAE ACC)

"
,RKPK,RKPK,4,390,,Yes,No,,RKPK SOORO2 PSN MTTA APARU Y744 KPO Y685 SEL Y782 SOT Z50 BULTI Y711 DALSU DCT YSU DCT SAC DCT PSN PEDLO2 RKPK,0,534,51,GL,2020-12-02 0530,,,,,,,,36R,36L,"1.HEART SIGNAL ROUTE
2.REQUIRED PERMIT 
  - FROM SACHOEN MILITARY AND DAEGU ACC



"
,RKPK,RKPK,5,250,,Yes,No,,RKPK SOORO2 PSN Y579 TENAS Y579 PSN PEDLO2 RKPK,0,457,51,TW,2020-11-19 1025,,,,,,,,36R,36L,"SUNRISE RTE #1
"
,RKPK,RKPK,6,250,,Yes,No,,RKPK SOORO2 PSN Y579 TENAS Y437 KAE Y697 PILIT Y744 PSN PEDLO2 RKPK,0,570,51,TW,2020-11-19 1127,,,,,,,,36R,36L,"PUS-PUS(DOKDO COURSE) #1

"
,RKPK,RKPK,7,250,,Yes,No,,RKPK SOORO2 PSN Y744 PILIT Y697 KAE Y437 TENAS Y579 PSN PEDLO2 RKPK,0,570,51,TW,2020-11-19 1127,,,,,,,,36R,36L,"PUS-PUS(DOKDO COURSE) #2
"
,RKPK,RKPK,70,390,,Yes,No,,RKPK GIMHAE2 KMH DCT SAC DCT YSU DCT SAMUL Y722 SOT Y782 SEL Y685 KPO Y744 APARU PEDLO2 RKPK,0,478,51,SI,2020-11-23 0952,,,,,,,,36R,36L,"PUS/PUS SUNRISE/SUNSET RTE
"
,RKPK,RKPK,71,250,,Yes,No,,RKPK SOORO2 PSN Y744 KPO Y685 SEL Y782 SOT Z50 BULTI Y711 DALSU DCT YSU DCT SAC DCT PSN PEDLO2 RKPK,0,533,51,GL,2020-12-24 2248,,,,,,,,36L,36L,"FOR SUNRISE PLAN #2

"
,RKPK,RKPK,81,180,,Yes,No,,RKPK SOORO2 BESNA Y209 FRAIZ DCT BEETL Y208 INVOK PEDLO2 RKPK,0,208,51,GL,2021-04-30 2226,,,,,,,,36R,36L,"PUS-PUS SCENIC FLGIHT



"
,RKPK,RKPK,95,,,Yes,No,,RKPK BEVSI3 PSN Y744 PILIT G597 KAE G597 PILIT Y744 PSN GAYHA3 RKPK,0,424,51,KJ,2020-10-12 0651,,,,,,,,36L,18R,"SUNRISE
"
,RKPK,RKPK,97,,,Yes,No,,RKPK SOORO2 PSN Y253 DALSU Y711 KIDOS DCT CJU Y722 SOT Y782 PSN GAYHA3 RKPK,0,672,51,KJ,2020-10-12 0750,,,,,,,,36L,18R,"PUS/PUS SUNRISE
"
,RKPK,RKPK,99,250,,Yes,No,,RKPK DCT PSN Y744 KPO DCT 3608N12927E DCT 3609N12923E DCT 3608N12920E DCT 3558N12921E DCT 3557N12924E DCT 3558N12928E DCT KPO Y685 SEL Y782 SOT Z50 BULTI Y711 DALSU DCT YSU DCT SAC DCT PSN RKPK,0,509,51,CS,2020-11-28 0928,,,,,,,,36L,36L,"HOLDING RTE (DO NOT USE)
"
,RKPK,RKPU,10,170,,Yes,No,,RKPK BEVSI3 PSN DCT APARU APARU2C RKPU,32,91,83,TW,2018-05-05 0543,,,,,,,,36L,36,"DIV RTE
"
,RKPK,RKSI,1,250,,Yes,No,,RKPK ULSUK3 KALOD Y782 BITUX Z53 BASEM Y685 GUKDO GUKDO2H RKSI,183,321,234,MJ,2025-12-12 0922,,,,,,,,18R,15L,"1. PUS/ICN NML RTE 2. PUS DEP RWY 36 3. 4. 5. RMK - MEA
FL160(Z53)    
"
,RKPK,RKSI,2,250,,Yes,No,,RKPK SOORO2 KALOD Y782 BITUX Z53 BASEM Y685 GUKDO GUKDO2H RKSI,183,305,234,MJ,2025-12-12 0923,,,,,,,,36L,16L,
,RKPK,RKSI,80,200,,Yes,No,,RKPK BEVSI3 KALOD A582 SEL DCT RKSI,183,201,234,MJ,2025-09-04 0525,,,,,,,,36L,15L,"1. PUS/ICN CONVENTIONAL ROUTE 2. PUS DEP RWY 36 3. 4. 5. RMK -
MEA FL100 
"
,RKPK,RKSI,99,260,,Yes,No,,RKPK OPONO3 KALOD Y782 BITUX Z53 BASEM Y685 GUKDO GUKDO2H RKSI,183,300,234,MJ,2025-11-06 0759,,,,,,,,36L,16L,
,RKPK,RKSS,1,250,,Yes,No,,RKPK ULSUK3 KALOD Y782 BITUX Z53 BASEM Y685 GUKDO GUKDO2U RKSS,176,240,227,MJ,2025-12-12 0847,,,,,,,,18R,14L,"1. PUS/GMP NML RTE 2. PUS DEP RWY 36 3. 4. 5. RMK  -     
"
,RKPK,RKSS,2,250,,Yes,No,,RKPK SOORO2 KALOD Y782 BITUX Z53 BASEM Y685 GUKDO GUKDO2U RKSS,176,224,227,MJ,2025-12-12 0847,,,,,,,,36L,14L,
,RKPK,RKSS,80,130,,Yes,No,,RKPK BEVSI3 KALOD A582 SEL DCT RKSS,176,188,227,MJ,2025-09-04 0525,,,,,,,,36L,14L,"1. PUS/GMP CONVENTIONAL RTE 2. PUS DEP RWY 36 3. NIL 4. NIL 5.
RMK  - 'PSN' VOR REQD FOR SID   
"
,RKPK,RKTH,10,180,,Yes,No,,RKPK GIMHAE2 KMH DCT APARU PUDEN1 RKTH,54,78,105,BY,2020-06-28 0016,,,,,,,,36L,28,"1. PUS-KPO NML RTE
2. 2020-06-28
"
,RKPK,RKTN,1,120,,Yes,No,,RKPK ULSUK3 PSN Y782 KALOD UKBAT1 RKTN,45,121,96,MJ,2025-07-18 0228,,,,,,,,18R,31L,"1. PUS/TAE NML RTE  2. PUS DEP RWY 18 / TAE 13 ARR 3. 4. 5. RMK
- NIL   
"
,RKPK,RKTN,2,120,,Yes,No,,RKPK ULSUK3 KALOD Y782 TGU DCT RKTN,45,73,96,MJ,2023-11-08 0229,,,,,,,,18R,13R,
,RKPK,RKTN,3,120,,Yes,No,,RKPK DCT KALOD UKBAT1 RKTN,45,73,96,MJ,2025-07-18 0230,,,,,,,,36R,31L,
,RKPK,RKTN,4,120,,Yes,No,,RKPK OPONO3 PSN Y782 TGU DCT RKTN,45,92,96,MJ,2025-04-28 0517,,,,,,,,36L,13L,"1. PUS/TAE NML RTE  3. PUS DEP RWY 36R / TAE 13 ARR 3. 4. 5.
RMK - NIL    
"
,RKPK,RKTN,5,120,,Yes,No,,RKPK ULSUK3 KALOD YAWAN1 RKTN,45,91,96,MJ,2025-12-15 0535,,,,,,,,18L,13L,
,RKPK,RKTN,80,120,,Yes,No,,RKPK BEVSI3 KALOD A582 TGU DCT RKTN,45,56,96,MJ,2025-09-04 0525,,,,,,,,36L,13L,"1. PUS/TAE CONVENTIONAL RTE 2. PUS DEP RWY 36 3. 4. 5. RMK -
NIL 
"
,RKPK,RKTN,90,130,,Yes,No,,RKPK ULSUK3 KALOD YAWAN1 RKTN,45,91,96,SK,2024-05-02 0721,,,,,,,,18R,13R,"1. RKPK-RKTN NML RTE 2. RKPK DEP RWY18R 3. 2024.05.02
"
,RKPK,RKTU,1,200,,Yes,No,,RKPK SOORO2 KALOD Y782 OSPOT MATIZ1 RKTU,116,169,167,TL,2022-07-08 0934,,,,,,,,36L,24R,"1. PUS/CJJ NML RTE
2. PUS DEP RWY 36
3.
4.
5. RMK
- NIL


"
,RKPK,RKTU,2,200,,Yes,No,,RKPK ULSUK3 KALOD Y782 OSPOT MATIZ1 RKTU,116,184,167,MJ,2023-11-08 0613,,,,,,,,18L,24R,
,RKPK,RKTU,7,200,,Yes,No,,RKPK OPONO3 KALOD Y782 OSPOT MATIZ1 RKTU,116,172,167,MJ,2024-03-15 0902,,,,,,,,36L,06L,
,RKPK,RKTU,80,130,,Yes,No,,RKPK BEVSI3 KALOD A582 OSPOT DCT BIDAN DCT BEGOO DCT RKTU,116,173,167,MJ,2025-09-04 0526,,,,,,,,36L,06L,"1. PUS/CJJ CONVENTIONAL RTE 2. PUS DEP RWY 36 3. 4. 5. RMK -
NIL   
"
,RKPK,RKTU,81,130,,Yes,No,,RKPK BEVSI3 KALOD A582 OSPOT DCT HYEIN DCT TURTU DCT RKTU,116,173,167,MJ,2023-11-06 0623,,,,,,,,36L,24R,
,RKPK,ROAH,1,340,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 ONC Y525 IHEYA IHEYAS ROAH,544,659,593,GL,2024-09-11 0532,,,,,,,,36R,36R,"1. PUS/OKA NML RTE 2. PUS DEP RWY 36 3. NIL 4. NIL 5. RMK
"
,RKPK,ROAH,80,390,,Yes,No,,RKPK BEVSI3 PSN DCT APELA A582 NHC DCT LAVON ROAH,544,674,593,MJ,2024-09-23 0704,,,,,,,,36L,36L,"1. PUS / OKA CONVENTIONAL ROUTE 2. MEA FL160 3. RNAV/RNP : NIL
4. SINGLE HF, GPS REQUIRED 5. DEL ATC FLIGHT PLAN ITEM 10 'R'
AND    ITEM 18 PBN CAPABILITY 6. 2022-06-18 (RJJJ AIC 15/22)  
"
,RKPK,ROAH,98,390,,Yes,No,,RKPK BEVSI3 PSN DCT APELA A582 ONC DCT OKUMA RESORTS ROAH,544,643,593,JP,2021-10-02 1554,,,,,,,,36L,36L,"1. PUS / OKA CONVENTIONAL ROUTE
2. MEA FL160
3. RNAV/RNP : NIL
4. SINGLE HF, GPS REQUIRED
5. DEL ATC FLIGHT PLAN ITEM 10 'R' AND
   ITEM 18 PBN CAPABILITY
6. 2015-12-23

"
,RKPK,RPLC,1,390,,Yes,No,,RKPK BURIM3 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 POTIB M646 SANRO W4 MALIB MALIB5R RPLC,1282,1365,1330,MJ,2024-10-25 2201,,,,,,,,18L,2,"1. PUS CRK NORMAL ROUTE RWY18 2. MEA FL320 3. TP OVF REQ 4.
UPDATED 2024.10.10   
"
,RKPK,RPLC,2,390,,Yes,No,,RKPK OPONO3 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 POTIB M646 SANRO W4 MALIB MALIB5R RPLC,1282,1371,1330,MJ,2024-10-23 0559,,,,,,,,36R,2,"1. PUS CRK NORMAL ROUTE 2. MEA FL320 3. TP OVF REQ 4. UPDATED
2024.10.10  
"
,RKPK,RPLC,5,390,,Yes,No,,RKPK OPONO3 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 YURIX Y62 KAZIK B462 LAO M646 SANRO W4 MALIB MALIB5R RPLC,1282,1417,1330,MJ,2024-10-23 0559,,,,,,,,36R,2,"1. PUS CRK JP RTE 2. PUS DEP RWY36R 3. SINGLE HF REQ 4. UPDATED
2024.10.10  
"
,RKPK,RPLC,30,390,,Yes,No,,RKPK OPONO3 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 DRAKE A1 APU W4 TNN Q14 POTIB M646 SANRO W4 MALIB MALIB5R RPLC,1282,1401,1330,MJ,2024-10-23 0600,,,,,,,,36R,2,"1. PUS CRK TPE 'W4'RTE 2. MEA Y742 FL320 3. UPDATED 2024.10.10 
"
,RKPK,RPLC,40,390,,Yes,No,,RKPK OPONO3 BESNA Y209 IKE A582 HKC Y45 ONC Y579 SAKON A582 POLIO DCT MUNTI TR27 RAYAT RAYAT5R RPLC,1282,1463,1330,MJ,2025-07-17 0819,,,,,,,,36R,2,"1. PUS CRK DETOUR (JP) RTE 2. PUS DEP RWY 36 3. Y579 F210 4.
DUAL HF 5. UPDATED 2024.10.10   
"
,RKPK,RPLC,50,390,,Yes,No,,RKPK OPONO3 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 SAKON A582 POLIO DCT MUNTI TR27 RAYAT DCT MALIB MALIB5R RPLC,1282,1509,1330,MJ,2025-07-17 0818,,,,,,,,36R,2,"1. PUS CRK JP RTE (RUGMA DETOUR) 2. PUS DEP RWY36R  3. DUAL HF
REQ  4. UPDATED 2024.10.10      
"
,RKPK,RPSP,1,360,,Yes,No,,RKPK BURIM3 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 POTIB M646 LAO B462 IPATA W25 BATAY W8 MCT W21 TOGIP BATAY1P RPSP,1563,1765,1609,MJ,2025-07-04 0957,,,,,,,,18L,3,"1. PUS/TAG NML(TW) RTE 2. PUS DEP RWY 18  3. MNL ACC CFM'BATAY
W8 MCT W21 TUBIG RPLL' 4. 2025.02.14   
"
,RKPK,RPSP,2,360,,Yes,No,,RKPK SOORO2 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 POTIB M646 LAO B462 IPATA W25 BATAY W8 MCT W21 TOGIP BATAY1P RPSP,1563,1777,1609,MJ,2025-07-04 0957,,,,,,,,36R,3,"1. PUS/TAG NML(TW) RTE 2. PUS DEP RWY 36 3. 1 HF, 1 GPS 4.MNL
ACC CFM 'BATAY W8 MCT W21 TUBIG RPLL' 5. 2025.02.14   
"
,RKPK,RPSP,3,370,,Yes,No,,RKPK BURIM3 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 SAKON A582 POLIO DCT JOM W9B NGA W9 TAC G578 MCT MCT1 RPSP,1563,1761,1609,MJ,2025-07-07 1154,,,,,,,,18L,3,"1. PUS/TAG NML(JP) RTE 2. PUS DEP RWY 18 3. NIL 4. DUAL HF,
SINGLE GPS 5. RMK  - IF A582 FLT LVL BLW FL270, 2HF REQUIRED  
"
,RKPK,RPSP,4,370,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 SAKON A582 POLIO DCT JOM W9B NGA W9 TAC G578 MCT MCT1 RPSP,1563,1773,1609,MJ,2025-07-07 1155,,,,,,,,36R,3,"1. PUS/TAG NML(JP) RTE 2. PUS DEP RWY 36 3. NIL 4. DUAL HF,
SINGLE GPS 5. RMK  - IF A582 FLT LVL BLW FL270, 2HF REQUIRED   
"
,RKPK,RPSP,5,370,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 SAKON A582 SABIG B462 IPATA W25 BATAY W8 MCT W21 TOGIP BATAY1P RPSP,1563,1761,1609,MJ,2025-07-07 1150,,,,,,,,36R,3,"1. PUS- TAG NML RTE 2. MNL ACC CFM 'BATAY W8 MCT W21 TUBIGRPLL'
3. 2025.02.14  
"
,RKPK,RPSP,8,360,,Yes,No,,RKPK SOORO2 BESNA Y209 IKE A582 HKC Y45 ONC Y579 SAKON A582 POLIO DCT JOM W9B NGA W9 TAC G578 MCT MCT1 RPSP,1563,1797,1609,MJ,2025-07-07 1157,,,,,,,,36R,3,"1. PUS/TAG DETOUR(BESNA) RTE 2. PUS DEP RWY 36 3. NIL 4. DUAL
HF, SINGLE GPS 5. RMK   
"
,RKPK,RPSP,15,360,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 YURIX Y62 KAZIK B462 IPATA W25 BATAY W8 MCT W21 TOGIP BATAY1P RPSP,1563,1823,1609,MJ,2025-07-04 0959,,,,,,,,36R,3,"1. PUS/TAG NML(JP) RTE 2. PUS DEP RWY 36 3. 1 HF, 1 GPS 4.MNL
ACC CFM 'BATAY W8 MCT W21 TUBIG RPLL' 5. 2025.02.14  
"
,RKPK,RPSP,16,360,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 YURIX Y62 KAZIK B462 LAO M646 MIA B462 IPATA W25 BATAY W8 MCT W21 TOGIP BATAY1P RPSP,1563,1826,1609,MJ,2025-07-04 0959,,,,,,,,36R,3,"1. PUS/TAG (B462, CAB VOR INOP) RTE 2. PUS DEP RWY 36 3.MNL ACC
CFM 'BATAY W8 MCT W21 TUBIG RPLL' 4. 2025.02.14    
"
,RKPK,RPSP,18,370,,Yes,No,,RKPK BURIM3 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 SAKON A582 SABIG B462 IPATA W25 BATAY W8 MCT W21 TOGIP DCT BATAY BATAY1P RPSP,1563,1900,1609,MJ,2025-07-07 1132,,,,,,,,18L,3,"1. PUS- TAG SHORTCUT ROUTE (RWY 18) 2. MNL ACC CFM 'BATAY W8
MCT W21 TUBIG RPLL' 3. 2025.02.14   
"
,RKPK,RPSP,20,360,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 SAKON DCT GURAG G578 MCT MCT1 RPSP,1563,1665,1609,GL,2023-10-05 0138,,,,,,,,36R,3,"1. PUS/TAG OCEAN RTE
2. PUS DEP RWY 36
3. NIL
 -OV FLT PMSN NOT RQ
4. DUAL HF
5. NIL
"
,RKPK,RPSP,21,360,,Yes,No,,RKPK SOORO2 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 DRAKE A1 APU W4 TNN Q14 POTIB M646 LAO B462 IPATA W25 BATAY W8 MCT W21 TOGIP BATAY1P RPSP,1563,1807,1609,MJ,2025-07-04 1000,,,,,,,,36R,3,"1. PUS/TAG TW(W4) RTE 2. PUS DEP RWY 36 3. 1 HF, 1 GPS 4.MNL
ACC CFM 'BATAY W8 MCT W21 TUBIG RPLL' 5. 2025.02.14  
"
,RKPK,RPSP,41,360,,Yes,No,,RKPK OPONO3 ENGOT Y572 BILUM Z85 RUGMA A586 POTET Y579 RUSAR Y27 YURIX Y62 KAZIK B462 IPATA W25 BATAY W8 MCT W21 TOGIP BATAY1P RPSP,1563,1817,1609,MJ,2025-07-04 1000,,,,,,,,36R,3,"1. PUS/TAG DETOUR RTE 2. PUS DEP RWY 36 3. 1 HF, 1 GPS 4.MNL
ACC CFM 'BATAY W8 MCT W21 TUBIG RPLL' 5. 2025.02.14  
"
,RKPK,RPSP,99,360,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 YURIX Y62 MJC B462 IPATA W25 BATAY W8 MCT W21 TOGIP BATAY1P RPSP,1563,1823,1609,MJ,2025-07-04 1002,,,,,,,,36R,3,"1. PUS/TAG NML(JP) RTE (NTM) 2. PUS DEP RWY 36 3.1 HF, 1 GPS
4.MNL ACC CFM 'BATAY W8 MCT W21 TUBIG RPLL' 5. 2025.02.14  
"
,RKPK,RPVM,1,390,,Yes,No,,RKPK SOORO2 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 POTIB M646 LAO B462 IPATA W25 BATAY BATAY3P RPVM,1518,1723,1563,MJ,2025-07-04 0950,,,,,,,,36R,04L,"1. PUS/CEB NML(TW) RTE 2. PUS DEP RWY 36 3. TW OVFLT PMSN 4.
SINGLE HF, SINGLE GPS 5. NIL    
"
,RKPK,RPVM,2,390,,Yes,No,,RKPK BURIM3 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 POTIB M646 LAO B462 IPATA W25 BATAY BATAY3P RPVM,1518,1712,1563,MJ,2025-09-04 0529,,,,,,,,18R,04L,"1. PUS/CEB NML(TW) RTE 2. PUS DEP RWY 18 3. TW OVFLT PMSN 4.
SINGLE HF, SINGLE GPS 5. NIL 
"
,RKPK,RPVM,3,390,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 SAKON A582 POLIO DCT JOM W9B NGA W9 TAC DCT LARYO LARYO3R RPVM,1518,1735,1563,MJ,2025-07-07 1025,,,,,,,,36R,22R,"1. PUS/CEB NML(JP) RTE 2. PUS DEP RWY 36 3. NIL 4. DUAL HF,
SINGLE GPS 5. MEA FL210(A582)    IF A582 FLT LVL BLW FL270, 2HF
REQUIRED   
"
,RKPK,RPVM,4,390,,Yes,No,,RKPK SOORO2 BESNA Y209 IKE A582 HKC Y45 ONC Y579 SAKON A582 POLIO DCT JOM W9B NGA W9 TAC DCT LARYO LARYO3N RPVM,1518,1788,1563,MJ,2025-07-07 1030,,,,,,,,36L,04R,"1. PUS-CEB BESNA RTE 2. MOLIT REQ (EFF.29 OCT 2023) - EOBT
0900-1300Z 3. DUAL HF  4. 2023-10-30   
"
,RKPK,RPVM,5,390,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 SAKON A582 SABIG B462 IPATA W25 BATAY BATAY3R RPVM,1518,1689,1563,MJ,2025-07-07 1036,,,,,,,,36R,22L,"1. PUS/CEB NML(JP) RTE DCT SHORTCUT ROUTE 2. PUS DEP RWY 36 3.
NIL 4. DUAL HF, SINGLE GPS 5. MEA FL210(A582)    IF A582 FLT
LVL BLW FL270, 2HF REQUIRED   
"
,RKPK,RPVM,15,390,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 YURIX Y62 KAZIK B462 IPATA W25 BATAY BATAY3P RPVM,1518,1769,1563,MJ,2025-07-04 0952,,,,,,,,36R,04L,"1. PUS/CEB RUGMA RTE 2. SINGLE HF 
"
,RKPK,RPVM,16,390,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 YURIX Y62 KAZIK B462 LAO M646 MIA B462 IPATA W25 BATAY BATAY3P RPVM,1518,1772,1563,MJ,2025-07-04 0952,,,,,,,,36R,04L,"1. PUS/CEB B462 DETOUR RTE(CAB VOR INOP)  2. PUS DEP RWY 36 3.
SINGLE HF   
"
,RKPK,RPVM,20,390,,Yes,No,,RKPK SOORO2 ENGOT Y572 CJU Z82 PANSI Y711 MUGUS Y742 SALMI Q11 DRAKE A1 APU W4 TNN Q14 POTIB M646 LAO B462 IPATA W25 BATAY BATAY3P RPVM,1518,1753,1563,MJ,2025-09-04 0529,,,,,,,,36L,04L,"1. PUS/CEB DETOUR RTE (TW) 2. PUS DEP RWY 36 3. TW OVFLT PMSN
4. SINGLE HF, SINGLE GPS 5. NIL   
"
,RKPK,RPVM,23,380,,Yes,No,,RKPK OPONO3 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 YURIX Y62 KAZIK B462 IPATA W25 BATAY BATAY3P RPVM,1518,1763,1563,MJ,2025-07-04 0954,,,,,,,,36R,04L,"1. PUS/CEB RUGMA DETOUR RTE 
"
,RKPK,RPVM,30,390,,Yes,No,,RKPK OPONO3 BESNA Y209 IKE A582 HKC G339 BIXAK A590 JOM W9B NGA W9 TAC DCT LARYO LARYO3N RPVM,1518,1902,1563,MJ,2025-09-04 0536,,,,,,,,36L,04L,"1. PUS/CEB BIXAK DETOUR RTE 2. PUS DEP RWY 36 3. NIL 4. DUAL HF
5. NIL   
"
,RKPK,RPVM,33,380,,Yes,No,,RKPK OPONO3 ENGOT Y572 RUGMA Y579 RUSAR Y27 SAKON A582 POLIO DCT JOM W9B NGA W9 TAC DCT LARYO LARYO3N RPVM,1518,1771,1563,MJ,2025-07-07 1044,,,,,,,,36L,04R,
,RKPK,RPVM,40,390,,Yes,No,,RKPK OPONO3 BESNA Y209 IKE A582 POLIO DCT JOM W9B NGA W9 TAC DCT LARYO LARYO3N RPVM,1518,1783,1563,MJ,2025-09-17 1253,,,,,,,,36L,04L,"1. PUS/CEB DETOUR RTE (BESNA) 2. PUS DEP RWY 36 3. DUAL HF,
SINGLE GPS 5. USE REQ TO CONFIRM RTE AVALIABILITY JP/PH   
"
,RKPK,RPVM,60,390,,Yes,No,,RKPK OPONO3 ENGOT Y572 CJU Z82 PANSI Y711 PONIK A593 PUD A599 NXD W131 AKDIM A470 DUBGO W134 ELNEX A599 PLT W19 NOMAR W18 TAMOT B330 BIGEX DCT POVAM DCT NOPER V642 NOMAN A461 AVMUP W16 MIA B462 TAC G578 POXOS POXOS1 RPVM,1518,2230,1563,MJ,2025-10-21 0804,,,,,,,,36R,22L,"1.CHN DTR 2.SADLI-TAMOT 3.CHN OVERFLY REQUIRED      
"
,RKPK,RPVM,81,250,,Yes,No,,RKPK SOORO2 ENGOT Y572 CJU Z82 PANSI Y711 BONSO DCT ATOTI B576 APU B591 HCN M646 LAO B462 MASBA W8 BATAY BATAY3P RPVM,1518,1767,1563,MJ,2025-07-07 1055,,,,,,,,36R,04R,"1. PUS/CEB 1PACK RTE (BLW FL250) 2. PUS DEP RWY 36 3. TW OVFTL
PMSN 4. DUAL IRU, SINGLE FMC, SINGLE GPS, SINGLE HF 5. NIL  
"
,RKPK,RPVM,90,390,,Yes,No,,RKPK SOORO2 ENGOT Y572 BILUM Z85 RUGMA Y579 RUSAR Y27 YURIX Y62 KAZIK B462 IPATA W25 BATAY BATAY3P RPVM,1518,1769,1563,MJ,2025-07-04 0956,,,,,,,,36R,04R,"1. PUS/CEB RUGMA RTE 
"
,RKPK,RPVM,92,390,,Yes,No,,RKPK SOORO2 BESNA Y209 IKE A582 HKC Y45 BOMAP Y62 KAZIK B462 IPATA W25 BATAY BATAY3P RPVM,1518,1799,1563,MJ,2025-07-04 0956,,,,,,,,36R,04L,"1. PUS/CEB BESNA RTE 2. SINGLE HF 
"
